tweet_id,retweet_count,favorite_count
892420643555336193,7117,34262
892177421306343426,5359,29701
891815181378084864,3528,22355
891689557279858688,7318,37429
891327558926688256,7863,35767
891087950875897856,2642,18060
890971913173991426,1692,10504
890729181411237888,16000,57623
890609185150312448,3667,24870
890240255349198849,6180,28337
890006608113172480,6235,27367
889880896479866881,4224,24902
889665388333682689,8474,42627
889638837579907072,3764,23965
889531135344209921,1903,13519
889278841981685760,4506,22416
888917238123831296,3815,25973
888804989199671297,3592,22771
888554962724278272,2916,17578
888078434458587136,2945,19404
887705289381826560,4589,26970
887517139158093824,9973,41306
887473957103951883,15225,60995
887343217045368832,8932,29982
887101392804085760,5060,27343
886983233522544640,6430,30796
886736880519319552,2675,10626
886680336477933568,3791,20006
886366144734445568,2674,18803
886267009285017600,3,104
886258384151887873,5362,24877
886054160059072513,93,0
885984800019947520,5692,28979
885528943205470208,5412,32002
885518971528720385,3158,18250
885311592912609280,15665,0
885167619883638784,3712,19498
884925521741709313,15244,68246
884876753390489601,4728,24728
884562892145688576,3966,21621
884441805382717440,4852,24186
884247878851493888,17138,64173
884162670584377345,2524,18177
883838122936631299,2902,19450
883482846933004288,8378,40775
883360690899218434,3119,20211
883117836046086144,5612,32969
882992080364220416,3279,21256
882762694511734784,4145,25125
882627270321602560,5146,24949
882268110199369728,9796,39711
882045870035918850,4131,26115
881906580714921986,2888,21731
881666595344535552,9079,45161
881633300179243008,8,113
881536004380872706,13585,44020
881268444196462592,4540,20775
880935762899988482,2369,15264
880872448815771648,3248,18990
880465832366813184,5289,25335
880221127280381952,3526,23993
880095782870896641,3705,24661
879862464715927552,2966,19966
879674319642796034,9,282
879492040517615616,2666,20995
879415818425184262,38000,94107
879376492567855104,2679,15045
879130579576475649,5809,0
879050749262655488,4005,20095
879008229531029506,2278,17013
878776093423087618,3492,17371
878604707211726852,6007,26795
878404777348136964,1086,0
878316110768087041,5616,0
878281511006478336,1086,6884
878057613040115712,5809,37639
877736472329191424,16045,70297
877611172832227328,70,0
877556246731214848,3211,20221
877316821321428993,4415,24487
877201837425926144,4700,24175
876838120628539392,2845,18463
876537666061221889,4037,21320
876484053909872640,2029,16781
876120275196170240,3957,25023
875747767867523072,3629,22441
875144289856114688,4201,19650
875097192612077568,5196,24576
875021211251597312,4030,22870
874680097055178752,3978,24927
874434818259525634,12385,0
874296783580663808,3526,23303
874057562936811520,3424,20401
874012996292530176,8694,30536
873580283840344065,3381,21708
